,nome,landmark
0,000001_0.jpg,"[0. 0. 1. 0. 1. 1. 2. 3. 2. 2. 6. 0. 3. 3. 3. 3. 1. 6. 2. 0. 9. 3. 0. 0.
 0. 0. 1. 0. 1. 2. 1. 1. 1. 2. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 3.
 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]"
1,000002_0.jpg,"[0. 0. 1. 0. 2. 0. 1. 3. 3. 4. 2. 0. 6. 2. 3. 1. 2. 6. 2. 0. 6. 6. 2. 0.
 0. 1. 1. 0. 2. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2.
 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]"
2,000005_0.jpg,"[0. 0. 0. 0. 3. 1. 0. 2. 0. 2. 5. 0. 3. 3. 0. 0. 4. 2. 1. 0. 2. 1. 4. 0.
 0. 3. 2. 0. 0. 2. 0. 0. 2. 2. 0. 0. 0. 2. 2. 3. 2. 2. 1. 0. 2. 0. 0. 2.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 3.]"
3,000007_1.jpg,"[0. 0. 0. 0. 3. 0. 0. 2. 0. 3. 5. 0. 7. 3. 2. 0. 2. 5. 1. 0. 2. 6. 1. 3.
 2. 1. 1. 0. 2. 1. 0. 1. 1. 2. 0. 0. 0. 2. 2. 0. 0. 0. 0. 0. 0. 0. 2. 2.
 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]"
4,000008_1.jpg,"[0. 0. 0. 0. 3. 0. 0. 2. 0. 3. 6. 0. 7. 3. 1. 0. 2. 4. 1. 0. 2. 6. 0. 2.
 1. 2. 1. 0. 1. 2. 0. 1. 0. 2. 1. 0. 1. 3. 1. 1. 0. 0. 0. 0. 0. 0. 1. 3.
 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]"
5,000010_1.jpg,"[0. 0. 1. 0. 2. 0. 0. 2. 0. 1. 4. 0. 5. 1. 0. 0. 2. 4. 0. 0. 1. 2. 2. 0.
 0. 2. 3. 0. 2. 2. 0. 1. 1. 1. 2. 0. 1. 2. 1. 2. 2. 1. 2. 0. 1. 2. 1. 3.
 0. 1. 0. 0. 0. 2. 1. 2. 0. 0. 0. 0. 0. 0. 0. 2.]"
6,000011_0.jpg,"[0. 0. 0. 0. 3. 0. 0. 2. 3. 3. 2. 0. 5. 2. 2. 0. 0. 5. 2. 0. 2. 5. 0. 2.
 2. 1. 0. 0. 0. 1. 0. 4. 1. 2. 0. 0. 1. 3. 2. 0. 0. 0. 1. 0. 2. 1. 2. 1.
 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]"
7,000012_0.jpg,"[0. 0. 0. 0. 2. 0. 0. 3. 1. 1. 1. 0. 4. 1. 1. 1. 0. 4. 0. 0. 2. 4. 0. 1.
 1. 1. 2. 0. 1. 1. 1. 2. 1. 1. 2. 0. 2. 1. 1. 3. 2. 1. 1. 0. 2. 1. 2. 2.
 2. 2. 0. 0. 0. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 2.]"
8,000013_0.jpg,"[0. 0. 2. 0. 0. 0. 0. 3. 1. 2. 3. 0. 1. 2. 3. 2. 0. 5. 2. 0. 3. 4. 0. 1.
 1. 1. 2. 0. 1. 2. 1. 1. 1. 3. 1. 0. 1. 2. 1. 2. 2. 1. 2. 0. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 1. 2. 1. 0. 0. 0. 0. 0. 0. 0. 2.]"
9,000014_0.jpg,"[0. 0. 0. 0. 3. 0. 0. 2. 3. 4. 5. 0. 1. 4. 3. 0. 0. 5. 0. 0. 1. 5. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 2. 1. 1. 1. 0. 1. 2. 2. 2. 2. 1. 1. 0. 2. 1. 2. 1.
 2. 2. 0. 0. 0. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 2.]"
10,000015_0.jpg,"[0. 0. 0. 0. 2. 0. 0. 5. 1. 2. 2. 0. 5. 1. 2. 2. 0. 4. 0. 0. 3. 3. 0. 2.
 2. 1. 0. 0. 0. 1. 1. 2. 1. 2. 2. 0. 2. 2. 2. 0. 0. 0. 1. 0. 2. 1. 0. 2.
 1. 3. 0. 0. 0. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]"
11,000016_0.jpg,"[0. 0. 2. 0. 1. 0. 0. 2. 2. 1. 4. 0. 2. 1. 3. 2. 0. 5. 2. 0. 2. 4. 1. 0.
 2. 1. 2. 0. 1. 1. 1. 1. 1. 3. 1. 0. 0. 2. 1. 2. 2. 1. 2. 0. 1. 2. 0. 0.
 0. 0. 0. 0. 0. 1. 2. 1. 0. 0. 0. 0. 0. 0. 0. 2.]"
